ono,cid,sessionNo,odate,shipping_address,order_total
401,201,1,2025-09-05,"456 South St, Edmonton",900.0
402,202,1,2025-09-18,"777 King St, EDMONTON",2285.0
403,203,2,2025-08-20,"Toronto, ON",1945.0
404,204,2,2025-06-10,"Calgary, AB",330.0
405,205,1,2024-11-05,Edmonton North,1250.0
406,206,1,2025-07-14,Vancouver,285.0
407,207,1,2025-09-20,Edmonton,900.0
408,208,1,2024-12-25,Calgary,1095.0
409,209,1,2025-09-01,edmonton,700.0
410,210,1,2025-05-20,Regina,700.0
411,304,2,2025-10-27 19:19:22,e,700.0
412,304,3,2025-10-27 19:26:05,e,649.97
413,304,3,2025-10-27 19:26:42,e,574.77
414,304,7,2025-10-28 11:31:35,1,24.99
415,304,16,2025-11-02 12:53:30,test11/2,24.99
416,304,19,2025-11-03 15:38:52,test11/3,10.0
417,999,1,2026-02-04 12:05:35,11test,300.0
